ISIN_No,BSE_Scrip_Code,BSE_Scrip_Id,BSE_Scrip_Name,NSE_ID,Nse_Name,Sector,Industry,Quandl_Code
INE144J01027,533022,20MICRONS,20 MICRONS LTD.,20MICRONS,20 Microns Limited,Metals,Mining,20MICRONS
INE748C01020,532628,3IINFOTECH,3I INFOTECH LTD.,3IINFOTECH,3i Infotech Limited,Technology,Computer Software,3IINFOTECH
INE470A01017,523395,3MINDIA,3M INDIA LTD.,3MINDIA,3M India Limited,Diversified,Diversified,3MINDIA
INE454F01010,590116,7SEAS,7Seas Technologies Ltd-$,NM,NM,Technology,Computer Software,7SEAS
INE650K01013,512161,8KMILES,8K MILES SOFTWARE SERVICES LTD.,8KMILES,8K Miles Software Services Limited,Technology,Computer Software,8KMILES
INE663P01015,538351,AFEL,A.F. Enterprises Ltd,NM,NM,Financial,Invest.Services,AFEL
INE701G01012,530499,AKCAPIT,A.K.CAPITAL SERVICES LTD.,NM,NM,Financial,Hire Purchase,AKCAPIT
INE619I01012,533292,A2ZINFRA,A2Z Infra Engineering Limited,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,Engineering,Electronic Equipts.,A2ZINFRA
INE063D01022,531611,AADHAARVEN,AADHAAR VENTURES INDIA LTD.,NM,NM,Financial,Equipt.Leasing,AADHAARVEN
INE563D01013,530027,AADIIND,AADI INDUSTRIES LTD.,NM,NM,Financial,Hire Purchase,AADIIND
INE817D01013,531866,AAGAMCAP,AAGAM CAPITAL LTD.,NM,NM,Financial,Misc. Fin.services,AAGAMCAP
INE197R01010,539096,AANANDALAK,Aananda Lakshmi Spinning Mills Ltd,NM,NM,Textiles,Textile Processing,AANANDALAK
INE322R01014,538812,AANCHALISP,Aanchal Ispat Ltd,NM,NM,Metals,Stainless Steel,AANCHALISP
INE198H01019,524412,AREYDRG,AAREY DRUGS &amp; PHARMACEUTICALS LTD.,NM,NM,Healthcare,Drugs & Pharma,AREYDRG
INE767A01016,524348,AARTIDRUGS,AARTI DRUGS LTD.,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drugs & Pharma,AARTIDRUGS
INE769A01020,524208,AARTIIND,AARTI INDUSTRIES LTD.,AARTIIND,Aarti Industries Limited,Chemicals,Organic Chemicals,AARTIIND
INE273D01019,514274,AARVEEDEN,AARVEE DENIMS &amp; EXPORTS LTD.,AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Cloth,AARVEEDEN
INE233H01030,531731,AARYAGLOBL,AARYA GLOBAL SHARES AND SECURITIES LTD.,NM,NM,Textiles,Woollen Textiles,AARYAGLOBL
INE847M01011,519319,AASHEE,AASHEE INFOTECH LTD.,NM,NM,Technology,Computer Hardware,AASHEE
INE887D01016,512038,ASWTR,AASWA TRADING &amp; EXPORTS LTD.,NM,NM,Financial,Trading,ASWTR
INE421A01028,523204,ABAN,ABAN OFFSHORE LTD.,ABAN,Aban Offshore Limited,Energy,Offshore Drilling,ABAN
INE117A01022,500002,ABB LTD.,ABB India Limited,ABB,ABB India Limited,Engineering,Switching Equipment,ABB
INE358A01014,500488,ABBOTINDIA,ABBOTT INDIA LTD.,ABBOTINDIA,Abbott India Limited,Healthcare,Drugs & Pharma,ABBOTINDIA
INE779A01011,505665,ABCBEARS,ABC BEARINGS LTD.-$,ANTFRIBEAR,ABC Bearings Ltd,Engineering,Ball Bearings,ABCBEARS
INE173M01012,513119,ABCGAS,ABC GAS (INTERNATIONAL) LTD.,NM,NM,Metals,Copper,ABCGAS
INE125D01011,520123,ABCINDQ,ABC INDIA LTD.-$,NM,NM,Services,Road Transport,ABCINDQ
INE580C01019,520155,ABG,ABG INFRALOGISTICS LTD.,ABGHEAVY,ABG Infralogistics Ltd,Services,Transport Support Services,ABG
INE067H01016,532682,ABGSHIP,ABG SHIPYARD LTD.,ABGSHIP,ABG Shipyard Limited,Services,Shipping,ABGSHIP
INE516F01016,532057,ABHICAP,ABHINAV CAPITAL SERVICES LTD.,NM,NM,Financial,Invest.Services,ABHICAP
INE211D01027,538952,ALFL,Abhinav Leasing &amp; Finance Ltd,NM,NM,Financial,Misc. Fin.services,ALFL
INE004I01017,532831,ABHISHEK,ABHISHEK CORPORATION LTD.,ABHISHEK,Abhishek Corporation Limited,Textiles,Cotton & Blended Yarn,ABHISHEK
INE723C01015,538935,ABHIFIN,Abhishek Finlease Ltd,NM,NM,Financial,Misc. Fin.services,ABHIFIN
INE195I01013,511756,ABIRAFN,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,NM,NM,Financial,Hire Purchase,ABIRAFN
INE707D01016,526955,ABLBIO,ABL BIOTECHNOLOGIES LTD.,NM,NM,FMCG,Marine Foods,ABLBIO
INE850B01018,531161,ABMKNO,ABM KNOWLEDGEWARE LTD.,NM,NM,Technology,Computer Software,ABMKNO
INE012A01025,500410,ACC,ACC LTD.,ACC,ACC Limited,Construction,Cement,ACC
INE020G01017,532774,AFL,ACCEL FRONTLINE LTD.,AFL,Accel Frontline Limited,Technology,Computer Software,AFL
INE258C01020,517494,ACCEL,ACCEL TRANSMATIC LTD.,NM,NM,Communication,Communication Equipt.,ACCEL
INE793A01012,532268,ACCELYA,Accelya Kale Solutions Limitd,ACCELYA,Accelya Kale Solutions Limited,Technology,Computer Software,ACCELYA
INE051E01017,526347,ACCLAIM,Acclaim Industries Limited,NM,NM,Chemicals,Plastic Packaging goods,ACCLAIM
INE243C01014,530513,ACCURATE,ACCURATE TRANSFORMERS LTD.,NM,NM,Engineering,Transformers,ACCURATE
INE715F01014,530093,ACEEDU,ACE EDUTREND LTD.,NM,NM,Services,Recreational Services,ACEEDU
INE849B01010,531525,ACESOFT,ACE SOFTWARE EXPORTS LTD.-$,NM,NM,Technology,Computer Software,ACESOFT
INE926O01019,536492,ATWL,Ace Tours Worldwide Ltd,NM,NM,Services,Tourism,ATWL
